time,title,body,market_change,preditction_title_ahmedrachid/FinancialBERT-Sentiment-Analysis
2023-10-10 16:03:29.986797+00:00,Hollywood writers ratify deal with studios to officially end historic strike,An actors strike is still ongoing.,6322.465084835608,"{'label': 'positive', 'score': 0.9980416297912598}"
2023-10-10 10:31:06.994265+00:00,1 Warren Buffett AI Stock Is Down 31% -- Is It Time to Buy?,"Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B) chief Warren Buffett isn't exactly known for his prowess as a tech investor.  Buffett stayed on the sidelines through the dot-com boom and bust, and he's said that he doesn't know how to value tech stocks.  Apple is now Berkshire's biggest holding, and the conglomerate has several other tech stocks in its portfolio.",6808.600095356147,"{'label': 'neutral', 'score': 0.9996902942657471}"
2023-10-09 09:32:25.817591+00:00,1 FAANG Stock That's a No-Brainer Buy in October and 1 to Avoid Like the Plague,"Among Meta Platforms (formerly Facebook), Amazon, Apple, Netflix, and Alphabet (formerly Google), there's a historically inexpensive stock that's ripe for the picking, as well as a time-tested business whose growth engine has stalled.",9666.874699407123,"{'label': 'neutral', 'score': 0.9997462630271912}"
2023-10-10 10:01:04.075013+00:00,Investors Take Note: Amazon Could Have an Artificial Intelligence (AI) Game-Changer on the Way,Investors looking for another reason to buy Amazon stock just might have one with this AI initiative.,6808.605710590522,"{'label': 'neutral', 'score': 0.9997783303260803}"
2023-10-10 17:30:59.788666+00:00,"Amazon's Prime Day set to break records, again","Amazon's (AMZN) Prime Day is positioned for another record-breaking event this year. The e-commerce giant's biannual sales event runs from today, October 10, and tomorrow, October 11. Earlier this year, Prime Day generated over 375 million item purchases for Amazon over the two days. Yahoo Finance's Seana Smith and Brad Smith analyze Amazon's cyber and promotional tactics around Prime Day. They also discuss how competitors like Target counter Prime Day with their own online and in-store discounting campaigns. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",6322.512692257483,"{'label': 'neutral', 'score': 0.9645829200744629}"
2023-10-10 12:31:29.526553+00:00,Are The Magnificent Seven Gearing Up For A Fantastic Finish To The Year?,"The Magnificent Seven, led by Nvidia, Meta Platforms and Tesla, have had an amazing 2023. Several of these S&P 500 giants are in buy areas now.",6808.685606423927,"{'label': 'neutral', 'score': 0.9994902610778809}"
2023-10-10 20:31:20.537113+00:00,Lego outperforms venture funds,In this issue of the WHAT THE TRUCK?!? newsletter: Lego as an investment; Tesla Semi back in black; Prime Day’s real value; and more. The post Lego outperforms venture funds appeared first on FreightWaves.,6322.585157915645,"{'label': 'neutral', 'score': 0.999618649482727}"
2023-10-09 16:00:46.333952+00:00,"Analysts Agree, Extremely Rare Investing Opportunity","The 1 year target price of this company is around 600% higher than where it's currently trading, investing now can yield investors some serious...",9049.605283960154,"{'label': 'neutral', 'score': 0.9997547268867493}"
2023-10-09 11:04:20.952634+00:00,5 Reasons You Shouldn't Shop on Amazon Prime Day,"Think twice before getting lured into buying a bunch of stuff you don't need just because it's on sale. Many bargain hunters are counting down the minutes to the start of Amazon's first ever Prime Big Deal Days, slated for October 10 and 11. The members-only mega-sale promises deep discounts on thousands of products. But are Amazon's blink-and-you-miss-them lightning deals worth the hype? Based on past complaints about checkout glitches and inventory shortages, plus the availability of bigger sa",9666.98933631043,"{'label': 'neutral', 'score': 0.9985766410827637}"
2023-10-11 16:02:34.263834+00:00,Amazon executives: There's progress in the healthcare business,"After stumbling several times, Amazon is now looking to others to help it build its healthcare efforts.",3858.727289727554,"{'label': 'neutral', 'score': 0.9940318465232849}"
